Rank,Electrode ID,Subject,Brain Region,Hemisphere,Mean Test R²,Mean Train R²,Train-Test Gap,Mean p-value,Best Model,Best Model R²,Best Condition,Best Cond R²,Best Window,Best Window R²
1,3_electrode_44,3,G_and_S_cingul-Ant,Right,0.2455,0.4546,0.2091,0.0725,GPT,0.2561,NGNS,0.2455,full_consolidation,0.2455
2,3_electrode_169,3,S_temporal_sup,Right,0.2243,0.4449,0.2206,0.1950,T5,0.2377,GNS,0.2243,W4,0.2406
3,17_electrode_7,17,G_and_S_cingul-Ant,Left,0.2077,0.1204,-0.0873,0.1250,GPT,0.2077,NGNS,0.2077,W2,0.2077
4,3_electrode_63,3,G_front_middle,Right,0.2073,0.1216,-0.0857,0.3300,GPT,0.2073,GS,0.2073,full_consolidation,0.2073
5,3_electrode_106,3,G_Ins_lg_and_S_cent_ins,Right,0.2061,0.3161,0.1100,0.2240,GPT,0.2158,GS,0.2061,W3,0.2128
6,3_electrode_25,3,G_front_inf-Triangul,Left,0.2057,0.4054,0.1997,0.1650,BERT,0.2094,GNS,0.2057,W3,0.2057
7,3_electrode_82,3,G_rectus,Right,0.2027,0.3454,0.1428,0.4883,GPT,0.2265,GNS,0.2027,W3,0.2383
8,3_electrode_15,3,S_orbital-H_Shaped,Left,0.2013,0.2154,0.0140,0.3686,GPT,0.2013,GNS,0.2013,W2,0.2998
9,11_electrode_96,11,S_oc_middle_and_Lunatus,Right,0.2001,0.2204,0.0202,0.7900,T5,0.2001,GS,0.2001,full_consolidation,0.2001
10,6_electrode_27,6,S_postcentral,Right,0.1982,0.2331,0.0348,0.7033,T5,0.1982,GS,0.1982,W4,0.1982
11,3_electrode_46,3,G_and_S_cingul-Ant,Right,0.1924,0.3664,0.1740,0.3192,T5,0.2084,GNS,0.1924,W3,0.2086
12,3_electrode_58,3,S_front_sup,Right,0.1821,0.4739,0.2918,0.1100,T5,0.1821,NGNS,0.1821,W4,0.1821
13,3_electrode_9,3,G_front_middle,Left,0.1814,0.4423,0.2609,0.1212,T5,0.1957,GS,0.1814,W4,0.1814
14,3_electrode_123,3,Lat_Fis-post,Right,0.1683,0.1112,-0.0571,0.1500,T5,0.1683,GS,0.1683,W3,0.1683
15,3_electrode_48,3,S_front_sup,Right,0.1681,0.3316,0.1634,0.2700,T5,0.1681,GS,0.1681,W3,0.1681
16,3_electrode_57,3,S_front_sup,Right,0.1662,0.4552,0.2889,0.0625,T5,0.1966,GNS,0.1662,W2,0.1662
17,3_electrode_56,3,G_and_S_cingul-Mid-Ant,Right,0.1658,0.4689,0.3031,0.1289,T5,0.1757,GNS,0.1658,W2,0.1980
18,3_electrode_194,3,S_temporal_inf,Right,0.1624,0.1837,0.0213,0.0700,GPT,0.1624,GNS,0.1624,W4,0.1804
19,3_electrode_68,3,S_circular_insula_sup,Right,0.1620,0.1986,0.0366,0.0650,GPT,0.1682,NGNS,0.1916,full_consolidation,0.1668
20,4_electrode_42,4,S_orbital_lateral,Right,0.1615,0.2186,0.0571,0.2500,T5,0.1676,GNS,0.1615,full_consolidation,0.1615
