condition,time_window,mean,std,count
GNS,W2,0.16895534681237262,0.048945925053414656,46
GNS,W3,0.15155632878249548,0.04214705565441335,53
GNS,W4,0.145742142572999,0.049505194259917416,32
GNS,full_consolidation,0.15391534951425367,0.047399779406995864,31
GS,W2,0.12631805028234208,0.02339662383494343,14
GS,W3,0.1633761836134869,0.041042446933616895,23
GS,W4,0.15927182983707738,0.04329143177921094,37
GS,full_consolidation,0.13551301012436548,0.03222261445576442,24
NGNS,W2,0.17319032351175945,0.0732063565966249,15
NGNS,W3,0.12040049210190773,0.016658480401350848,16
NGNS,W4,0.174140965237337,0.06888377659203522,17
NGNS,full_consolidation,0.16819419860839843,0.08018896953209857,15
a,W2,0.13871591289838156,0.018364824861326307,6
a,W3,0.13746964230256922,0.06787688867658068,17
a,W4,0.12386312229292733,0.019838632320906397,14
a,full_consolidation,0.1270434319972992,0.024210802554740635,10
overall,W4,0.100882887840271,,1
v,W2,0.14319270849227905,0.02129612820297858,2
v,W3,0.11710202693939209,0.009380178226759666,3
v,W4,0.13242809772491454,0.021796045488621258,5
v,full_consolidation,0.14477998812993367,0.04933734848472106,15
