subject,time_window,mean,std,count
1,W3,0.11159356832504272,0.0027952224996110812,5
1,W4,0.11633455753326416,,1
1,full_consolidation,0.11376867294311524,0.008243997116549625,5
2,W2,0.10225409269332886,,1
3,W2,0.16309096954636654,0.047153072728909014,59
3,W3,0.15605324959453148,0.05015881283957714,79
3,W4,0.15316464136476102,0.05029693534380812,92
3,full_consolidation,0.15008744796117146,0.054420572065442374,75
4,W3,0.151350736618042,,1
4,W4,0.1082419753074646,0.009387114687740363,2
4,full_consolidation,0.15659717718760172,0.015095412888580942,6
5,W2,0.15349886814753214,0.03181243590984614,3
6,W2,0.1582513451576233,,1
6,W3,0.13168483972549438,0.006509221709489779,4
6,W4,0.15350418289502463,0.0524623201291293,6
8,W2,0.1406143307685852,0.006138910471204943,3
8,W3,0.1328587055206299,0.02223576490291073,10
9,W2,0.13134738206863403,0.02092565389154917,5
9,W3,0.12073773145675659,0.01611430174438167,5
9,W4,0.13386383056640624,0.025447809233902902,5
9,full_consolidation,0.10868841409683228,0.0063982291996327965,3
10,W3,0.11222320795059204,,1
11,full_consolidation,0.16780447959899902,0.028914950289476726,3
12,W2,0.1294652819633484,0.018450040409835434,4
12,W3,0.11181128025054932,,1
13,W3,0.11053992807865143,0.005434927197967454,4
13,full_consolidation,0.13909316062927246,0.014464039765665635,2
14,W2,0.1329904943704605,0.01500239751366383,4
14,W3,0.12105047702789307,0.007949991447215898,2
15,full_consolidation,0.11608517169952393,,1
17,W2,0.2617207169532776,0.1343524165943009,3
