electrode,best_alpha,cv_R_2_mean,train_MSE,test_MSE,train_R,test_R,train_R_2,test_R_2,p_value,model,elec_idx,subjectNum,elecNum,isRejectManual,parcLabel,ctxParc,wmParc,isRejectFSL_2wm,isRejectFSL,isWM,unknown_wmParc,groupLabels,isLeft,groupAvgCoords,Elec_index,subject,condition,layer,time_window,language_group,scaler
electrode_178,1389.4954943731375,-0.06926687955856323,0.07313908636569977,0.10406693071126938,0.9305400848388672,0.5384642481803894,0.7183575630187988,0.288513720035553,,T5,178,3,179,0,S_occipital_ant,ctx_rh_S_occipital_ant,S_occipital_ant,0,0,0,0,RT2OT7 s3 e179,0,[ 42.96724893 -52.54760322   3.46946535],178,3,v,late,full_consolidation,Non-English,StandardScaler()
electrode_63,37275.93720314938,-0.10215035676956177,0.36331284046173096,0.2014462798833847,0.477160781621933,0.6719707250595093,0.12156116962432861,0.2072640061378479,0.33,GPT,63,3,64,0,G_front_middle,ctx_rh_G_front_middle,G_front_middle,0,0,0,0,RF2aCb12 s3 e64,0,[41.57160171 10.67485019 44.03241964],63,3,GS,late,full_consolidation,Non-English,
electrode_117,7196.856730011521,-0.2517573952674866,0.10917261987924576,0.09789951145648956,0.6861811876296997,0.6736849546432495,0.2051694393157959,0.2161356806755066,0.04,BERT,117,3,118,0,S_postcentral,Right-Cerebral-White-Matter,S_postcentral,0,0,1,0,RP1aIb13 s3 e118,0,[ 32.60753185 -29.95226359  46.32131126],117,3,NGNS,early,full_consolidation,Non-English,
electrode_44,7196.856730011521,-0.2231677293777466,0.11062781512737274,0.17636483907699585,0.8095096945762634,0.5828378200531006,0.4746898412704468,0.25612926483154297,0.06,GPT,44,3,45,0,G_and_S_cingul-Ant,ctx_rh_G_and_S_cingul-Ant,G_and_S_cingul-Ant,0,0,0,0,RF1Ca5 s3 e45,0,[10.8368854  30.64026334 31.67946503],44,3,NGNS,early,full_consolidation,Non-English,
electrode_44,1389.4954943731375,-0.2053213119506836,0.07675174623727798,0.13901209831237793,0.85050368309021,0.7181012630462646,0.63554847240448,0.4136754870414734,0.08,T5,44,3,45,0,G_and_S_cingul-Ant,ctx_rh_G_and_S_cingul-Ant,G_and_S_cingul-Ant,0,0,0,0,RF1Ca5 s3 e45,0,[10.8368854  30.64026334 31.67946503],44,3,NGNS,last,full_consolidation,Non-English,
electrode_169,1389.4954943731375,0.043954777717590335,0.04721441864967346,0.13612833619117737,0.8068532943725586,0.6082166433334351,0.5981569290161133,0.23333603143692017,0.21,T5,169,3,170,0,S_temporal_sup,ctx_rh_S_temporal_sup,S_temporal_sup,0,0,0,0,RT1A10 s3 e170,0,[ 49.97865954  -0.3974008  -15.10597435],169,3,GNS,early,full_consolidation,Non-English,
electrode_169,268.2695795279727,-0.025349438190460205,0.04808203876018524,0.1312432587146759,0.8020367622375488,0.6730272173881531,0.5907726287841797,0.26084840297698975,0.23,BERT,169,3,170,0,S_temporal_sup,ctx_rh_S_temporal_sup,S_temporal_sup,0,0,0,0,RT1A10 s3 e170,0,[ 49.97865954  -0.3974008  -15.10597435],169,3,GNS,middle,full_consolidation,Non-English,
electrode_78,7196.856730011521,-0.07994827032089233,0.09078840166330338,0.15937943756580353,0.7442196607589722,0.6143094897270203,0.4006894826889038,0.25174570083618164,0.33,GPT,78,3,79,0,S_precentral-sup-part,Right-Cerebral-White-Matter,S_precentral-sup-part,0,0,1,0,RF2bIa13 s3 e79,0,[34.14636659 -4.17426657 45.82721451],78,3,GNS,middle,full_consolidation,Non-English,
electrode_169,1389.4954943731375,-0.0028780817985534666,0.048342302441596985,0.13616088032722473,0.8075931072235107,0.6099401712417603,0.5885574817657471,0.23315274715423584,0.26,T5,169,3,170,0,S_temporal_sup,ctx_rh_S_temporal_sup,S_temporal_sup,0,0,0,0,RT1A10 s3 e170,0,[ 49.97865954  -0.3974008  -15.10597435],169,3,GNS,middle,full_consolidation,Non-English,
electrode_118,7196.856730011521,-0.27680569887161255,0.4379711151123047,0.15489482879638672,0.6499073505401611,0.5318034887313843,0.24917131662368774,0.20561754703521729,0.81,T5,118,3,119,0,S_postcentral,ctx_rh_S_postcentral,S_postcentral,0,0,0,0,RP1aIb14 s3 e119,0,[ 32.35572387 -31.83322457  50.47892627],118,3,GNS,late,full_consolidation,Non-English,
electrode_78,7196.856730011521,-0.054676175117492676,0.09029679000377655,0.1614130139350891,0.7327917814254761,0.5669738054275513,0.4039347171783447,0.24219846725463867,0.21,GPT,78,3,79,0,S_precentral-sup-part,Right-Cerebral-White-Matter,S_precentral-sup-part,0,0,1,0,RF2bIa13 s3 e79,0,[34.14636659 -4.17426657 45.82721451],78,3,GNS,last,full_consolidation,Non-English,
electrode_96,7196.856730011521,-0.021341156959533692,0.26679113507270813,0.18624019622802734,0.5825583934783936,0.4853253960609436,0.22036147117614746,0.2001137137413025,0.79,T5,96,11,97,0,S_oc_middle_and_Lunatus,ctx_rh_S_oc_middle_and_Lunatus,S_oc_middle_and_Lunatus,0,0,0,0,O5 s11 e97,0,[  35.45680863 -111.63016033   13.68235985],96,11,GS,middle,full_consolidation,English,
