Model,Time Window,N Electrodes,Mean R²,Std R²,Median R²,N Sig (p<0.05),% Sig (p<0.05),N Sig (p<0.01),% Sig (p<0.01),Train-Test Gap
BERT,W2,18,0.145,0.04,0.137,4,22.2,1,5.6,0.15
BERT,W3,28,0.142,0.038,0.131,6,21.4,0,0.0,0.2
BERT,W4,31,0.144,0.039,0.136,8,25.8,4,12.9,0.19
BERT,full_consolidation,27,0.14,0.039,0.126,6,22.2,1,3.7,0.143
GPT,W2,38,0.166,0.061,0.149,6,15.8,0,0.0,0.124
GPT,W3,50,0.15,0.046,0.133,11,22.0,1,2.0,0.062
GPT,W4,31,0.149,0.049,0.125,5,16.1,0,0.0,0.157
GPT,full_consolidation,34,0.143,0.042,0.129,3,8.8,1,2.9,0.115
T5,W2,27,0.16,0.043,0.147,5,18.5,0,0.0,0.201
T5,W3,34,0.146,0.052,0.133,3,8.8,1,2.9,0.117
T5,W4,43,0.159,0.055,0.142,7,16.3,1,2.3,0.206
T5,full_consolidation,34,0.157,0.063,0.147,2,5.9,1,2.9,0.244
